{10 elems.} [00054.762 ms; 0 err.] linearSearch
{10 elems.} [00088.012 ms; 0 err.] binarySearch
{20 elems.} [00071.658 ms; 0 err.] linearSearch
{20 elems.} [00098.357 ms; 0 err.] binarySearch
{30 elems.} [00074.683 ms; 0 err.] linearSearch
{30 elems.} [00100.936 ms; 0 err.] binarySearch
{40 elems.} [00086.691 ms; 0 err.] linearSearch
{40 elems.} [00116.274 ms; 0 err.] binarySearch
{50 elems.} [00104.536 ms; 0 err.] linearSearch
{50 elems.} [00126.724 ms; 0 err.] binarySearch
{60 elems.} [00103.246 ms; 0 err.] linearSearch
{60 elems.} [00121.852 ms; 0 err.] binarySearch
{70 elems.} [00118.360 ms; 0 err.] linearSearch
{70 elems.} [00133.039 ms; 0 err.] binarySearch
{80 elems.} [00119.794 ms; 0 err.] linearSearch
{80 elems.} [00136.062 ms; 0 err.] binarySearch
{90 elems.} [00121.202 ms; 0 err.] linearSearch
{90 elems.} [00137.392 ms; 0 err.] binarySearch
{100 elems.} [00134.333 ms; 0 err.] linearSearch
{100 elems.} [00140.514 ms; 0 err.] binarySearch
{110 elems.} [00156.841 ms; 0 err.] linearSearch
{110 elems.} [00138.357 ms; 0 err.] binarySearch
{120 elems.} [00158.579 ms; 0 err.] linearSearch
{120 elems.} [00144.147 ms; 0 err.] binarySearch
{130 elems.} [00144.617 ms; 0 err.] linearSearch
{130 elems.} [00151.558 ms; 0 err.] binarySearch
{140 elems.} [00161.785 ms; 0 err.] linearSearch
{140 elems.} [00150.327 ms; 0 err.] binarySearch
{150 elems.} [00173.375 ms; 0 err.] linearSearch
{150 elems.} [00145.750 ms; 0 err.] binarySearch
{160 elems.} [00167.853 ms; 0 err.] linearSearch
{160 elems.} [00147.281 ms; 0 err.] binarySearch
{170 elems.} [00168.949 ms; 0 err.] linearSearch
{170 elems.} [00151.765 ms; 0 err.] binarySearch
{180 elems.} [00180.151 ms; 0 err.] linearSearch
{180 elems.} [00153.035 ms; 0 err.] binarySearch
{190 elems.} [00178.451 ms; 0 err.] linearSearch
{190 elems.} [00153.245 ms; 0 err.] binarySearch
{200 elems.} [00193.062 ms; 0 err.] linearSearch
{200 elems.} [00159.736 ms; 0 err.] binarySearch
{210 elems.} [00200.997 ms; 0 err.] linearSearch
{210 elems.} [00162.717 ms; 0 err.] binarySearch
{220 elems.} [00201.075 ms; 0 err.] linearSearch
{220 elems.} [00165.408 ms; 0 err.] binarySearch
{230 elems.} [00221.019 ms; 0 err.] linearSearch
{230 elems.} [00170.948 ms; 0 err.] binarySearch
